component,path,language,source_form_hint,initial_classification,status,entry_point,tapenade_options,modes,oracle,dependencies,tapenade_result,fortad_result
non-regressions,nonRegressions/set01/B01,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"gradfb(x,y,z,b,c,d,vol6)",-p|-d/-root-gradfb|-b/-root-gradfb,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-forward-reverse-generation|FortAD-exact-check-forward-reverse-legacy-do-diagnostic|independent-determinant-volume-JVP-VJP-oracle,legacy fixed-form and include context; exact-source-only,pass-fresh-parser-forward-reverse-generation-strict-refusal-legacy-compile-pass,expected-refusal-check-jvp-vjp-legacy-do-line-116-no-output
non-regressions,nonRegressions/set01/B03,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"viscflux(npdes,ewt,ubn,nl,beta,xi1,qi1,xdoti1,qli1,qpi1,disti1,epst,xi2,qi2,xdoti2,qli2,qpi2,disti2,vres6,fn,second_order)",-p/-root-viscflux|-d/-root-viscflux|-b/-root-viscflux,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-forward-reverse-generation|FortAD-exact-check-forward-reverse-common-diagnostic|independent-viscous-flux-JVP-VJP-oracle,COMMON /files/ at line 33 plus external LOW call; no repaired port claimed,pass-fresh-parser-forward-reverse-generation-strict-refusal-legacy-compile-pass,expected-refusal-check-forward-reverse-unsupported-common-line-33-no-output
non-regressions,nonRegressions/set01/B05,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/ala00,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"root(x,y,initial)",-p/-root-root|-d/-root-root|-b/-root-root,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-forward-reverse-generation|FortAD-exact-check-forward-reverse-diagnostic|independent-fixed-point-JVP-VJP-oracle,PRINT at line 39 is unsupported; stored and fresh reverse references have a strict REAL*8 boundary; no repaired port claimed,pass-fresh-parser-forward-generation-strict-legacy-reverse-legacy-pass,expected-refusal-parser-forward-reverse-unsupported-print-line-39-no-output
non-regressions,nonRegressions/set01/ala01,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"root(x,y,initial)",-p/-context/-root-root|-d/-context/-root-root|-b/-context/-root-root,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-forward-reverse-generation|FortAD-exact-parser-forward-reverse-diagnostic|independent-fixed-point-JVP-VJP-oracle,PRINT at line 39 is unsupported; reverse REAL*8 is strict-refused; no repaired port claimed,pass-fresh-parser-forward-reverse-generation-fresh-forward-matches-stored-fresh-reverse-matches-stored-strict-REAL8-refusal-legacy-pass,expected-refusal-unsupported-print-line-39-no-output
non-regressions,nonRegressions/set01/ala02,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"root(x,y,initial)",-p|-d/-root-root|-b/-root-root,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-forward-reverse-generation|FortAD-exact-parser-forward-reverse-diagnostic|independent-fixed-point-JVP-VJP-oracle,the exact source has PRINT at line 39 and an implicit REAL-to-INTEGER actual/dummy mismatch; no repaired port claimed,pass-fresh-parser-forward-reverse-generation-parser-forward-strict-legacy-reverse-strict-refusal-legacy-pass,expected-refusal-modern-and-compatible-parser-forward-reverse-unsupported-print-line-39-no-output
non-regressions,nonRegressions/set01/ala03,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"wave_resolution(id,p,n_global,n_local,nsteps,c,u_global)",-head-wave_resolution(u_global)/(c)-noisize,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-forward-reverse-generation|FortAD-check-forward-reverse-external-update-diagnostic|independent-wave-JVP-VJP-oracle,MPI/update/collect external calls and MPI include context; no repaired port claimed,pass-fresh-parser-forward-reverse-generation-parser-MPI-mismatch-forward-strict-pass-reverse-INTEGER4-refusal-legacy-pass,check-pass-expected-refusal-forward-reverse-external-update-no-output
non-regressions,nonRegressions/set01/ala04,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"FP2(x,y)",-p/-context|-d/-context|-b/-context,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-forward-reverse-generation|FortAD-exact-check-forward-reverse-diagnostic|independent-nested-fixed-point-JVP-VJP-oracle,REAL*8 strict boundary and FortAD undeclared-name diagnostics; no repaired port claimed,pass-fresh-parser-forward-reverse-generation-strict-REAL8-refusal-legacy-pass,expected-refusal-exact-check-forward-independent-x-reverse-dependent-y-no-output
non-regressions,nonRegressions/set01/ala05,fortran,free,"mixed regression cases, references, harness, and data",expected-refusal,"NFP(x,y)",-head-NFP(y)/(x)-context-fixinterface,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-forward-reverse-generation|FortAD-exact-check-forward-reverse-DO-WHILE-diagnostic|independent-fixed-point-JVP-VJP-oracle,DO WHILE line 27; reverse REAL*8 strict boundary; no repaired port claimed,pass-fresh-parser-forward-reverse-generation-parser-forward-strict-legacy-reverse-REAL8-refusal-legacy-pass,expected-refusal-check-forward-reverse-unsupported-DO-WHILE-line-27-no-output
non-regressions,nonRegressions/set01/bd01,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"titi(w,x,y,z); port set01_bd01(x_initial,y_initial,z_initial,w_final,x_final,y_final,z_final)",none,forward|reverse:w_final,strict-compiler|fresh-Tapenade-parser-tangent-adjoint-compile|hand|central-difference-sweep|adjoint-identity,none,pass-fresh-parser-tangent-reverse-generation-generated-compile,pass-transform-compile-runtime
