engine,n,n_dir,seconds_total,ns_per_element_per_dir
fortad-reverse,1000,1,  1.862824E-02,      9.3141
enzyme-reverse,1000,1,  3.240087E-02,     16.2004
analytical-reverse,1000,1,  1.716359E-02,      8.5818
fortad-reverse,10000,1,  1.818968E-01,      9.0948
enzyme-reverse,10000,1,  3.196488E-01,     15.9824
analytical-reverse,10000,1,  1.684967E-01,      8.4248
fortad-reverse,100000,1,  1.818937E-01,      9.0947
enzyme-reverse,100000,1,  3.132290E-01,     15.6615
analytical-reverse,100000,1,  1.682057E-01,      8.4103
fortad-reverse,1000000,1,  1.814597E-01,      9.0730
enzyme-reverse,1000000,1,  3.270281E-01,     16.3514
analytical-reverse,1000000,1,  1.682211E-01,      8.4111
