engine,n,n_dir,seconds_total,ns_per_element_per_dir
analytical,1000,1,  2.144355E-02,     10.7218
fortad-scalar,1000,1,  1.786784E-02,      8.9339
enzyme,1000,1,  1.966514E-02,      9.8326
fortad-vector,1000,1,  1.952288E-02,      9.7614
enzyme-repeated,1000,1,  1.882453E-02,      9.4123
fortad-scalar-repeated,1000,1,  1.746873E-02,      8.7344
fortad-vector,1000,2,  2.135055E-02,      5.3376
enzyme-repeated,1000,2,  3.974223E-02,      9.9356
fortad-scalar-repeated,1000,2,  3.714346E-02,      9.2859
fortad-vector,1000,4,  2.237918E-02,      2.7974
enzyme-repeated,1000,4,  8.029170E-02,     10.0365
fortad-scalar-repeated,1000,4,  7.308562E-02,      9.1357
fortad-vector,1000,8,  2.431158E-02,      1.5195
enzyme-repeated,1000,8,  1.529507E-01,      9.5594
fortad-scalar-repeated,1000,8,  1.387307E-01,      8.6707
fortad-vector,1000,16,  1.791789E-02,      0.8959
enzyme-repeated,1000,16,  1.911319E-01,      9.5566
fortad-scalar-repeated,1000,16,  1.735508E-01,      8.6775
analytical,10000,1,  1.807391E-01,      9.0370
fortad-scalar,10000,1,  1.753713E-01,      8.7686
enzyme,10000,1,  1.915373E-01,      9.5769
fortad-vector,10000,1,  1.871786E-01,      9.3589
enzyme-repeated,10000,1,  1.882728E-01,      9.4136
fortad-scalar-repeated,10000,1,  1.772950E-01,      8.8647
fortad-vector,10000,2,  1.017535E-01,      5.0877
enzyme-repeated,10000,2,  1.933402E-01,      9.6670
fortad-scalar-repeated,10000,2,  1.764650E-01,      8.8232
fortad-vector,10000,4,  5.482188E-02,      2.7411
enzyme-repeated,10000,4,  1.970570E-01,      9.8528
fortad-scalar-repeated,10000,4,  1.766418E-01,      8.8321
fortad-vector,10000,8,  2.932415E-02,      1.4662
enzyme-repeated,10000,8,  1.908522E-01,      9.5426
fortad-scalar-repeated,10000,8,  1.762841E-01,      8.8142
fortad-vector,10000,16,  1.797628E-02,      0.8988
enzyme-repeated,10000,16,  1.946562E-01,      9.7328
fortad-scalar-repeated,10000,16,  1.872252E-01,      9.3613
analytical,100000,1,  1.805744E-01,      9.0287
fortad-scalar,100000,1,  1.749521E-01,      8.7476
enzyme,100000,1,  1.906981E-01,      9.5349
fortad-vector,100000,1,  1.887398E-01,      9.4370
enzyme-repeated,100000,1,  1.907091E-01,      9.5355
fortad-scalar-repeated,100000,1,  1.752511E-01,      8.7626
fortad-vector,100000,2,  1.028487E-01,      5.1424
enzyme-repeated,100000,2,  1.915510E-01,      9.5776
fortad-scalar-repeated,100000,2,  1.766658E-01,      8.8333
fortad-vector,100000,4,  5.349236E-02,      2.6746
enzyme-repeated,100000,4,  1.948930E-01,      9.7446
fortad-scalar-repeated,100000,4,  1.755101E-01,      8.7755
fortad-vector,100000,8,  3.013394E-02,      1.5067
enzyme-repeated,100000,8,  1.936964E-01,      9.6848
fortad-scalar-repeated,100000,8,  1.779531E-01,      8.8977
fortad-vector,100000,16,  1.768529E-02,      0.9211
enzyme-repeated,100000,16,  1.803086E-01,      9.3911
fortad-scalar-repeated,100000,16,  1.725740E-01,      8.9882
analytical,1000000,1,  1.843613E-01,      9.2181
fortad-scalar,1000000,1,  1.843252E-01,      9.2163
enzyme,1000000,1,  1.915682E-01,      9.5784
fortad-vector,1000000,1,  1.913178E-01,      9.5659
enzyme-repeated,1000000,1,  1.939588E-01,      9.6979
fortad-scalar-repeated,1000000,1,  1.765713E-01,      8.8286
fortad-vector,1000000,2,  1.021460E-01,      5.1073
enzyme-repeated,1000000,2,  1.918532E-01,      9.5927
fortad-scalar-repeated,1000000,2,  1.770240E-01,      8.8512
fortad-vector,1000000,4,  5.145220E-02,      2.5726
enzyme-repeated,1000000,4,  1.911268E-01,      9.5563
fortad-scalar-repeated,1000000,4,  1.771456E-01,      8.8573
fortad-vector,1000000,8,  3.514012E-02,      1.4642
enzyme-repeated,1000000,8,  2.305976E-01,      9.6082
fortad-scalar-repeated,1000000,8,  2.111165E-01,      8.7965
fortad-vector,1000000,16,  4.553756E-02,      0.9487
enzyme-repeated,1000000,16,  4.604495E-01,      9.5927
fortad-scalar-repeated,1000000,16,  4.245004E-01,      8.8438
