workload,engine,n,seconds_total,ns_per_input
euler,fortad,20000,  1.267750E-02,      3.1694
euler,enzyme,20000,  1.510175E-02,      3.7754
euler,tapenade,20000,  3.393012E-03,      0.8483
euler,fortad-grad,20000,  2.724148E-03,      0.6810
rk4,fortad,20000,  8.671971E-02,     21.6799
rk4,enzyme,20000,  7.712860E-02,     19.2821
rk4,tapenade,20000,  3.476971E-02,      8.6924
rk4,fortad-grad,20000,  3.258235E-02,      8.1456
lstm,fortad,20000,  4.498872E-01,    112.4718
lstm,enzyme,20000,  5.923353E-01,    148.0838
lstm,tapenade,20000,  4.640702E-01,    116.0176
lstm,fortad-grad,20000,  4.214092E-01,    105.3523
ba,fortad,60000,  3.561507E-02,      8.9937
ba,enzyme,60000,  3.189713E-02,      8.0548
ba,tapenade,60000,  7.782761E-02,     19.6534
ba,fortad-grad,60000,  2.709132E-02,      6.8412
bruss,fortad,20000,  4.491282E-02,     11.2282
bruss,enzyme,20000,  4.695335E-02,     11.7383
bruss,tapenade,20000,  5.709307E-02,     14.2733
bruss,fortad-grad,20000,  4.481576E-02,     11.2039
