workload,engine,problem_size,input_count,n,repetitions,trials,seconds_median,seconds_min,seconds_max,ns_per_input_median,ns_per_input_min,ns_per_input_max,timing_clock,run_id,provenance_file
euler,fortad,100,100,100,40000,7,  8.004079E-03,  7.880957E-03,  8.858178E-03,  2.001020E+00,  1.970239E+00,  2.214545E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,enzyme,100,100,100,40000,7,  1.464774E-02,  1.451741E-02,  1.508608E-02,  3.661934E+00,  3.629352E+00,  3.771520E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,tapenade,100,100,100,40000,7,  3.909054E-03,  3.839032E-03,  3.937728E-03,  9.772635E-01,  9.597580E-01,  9.844320E-01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,fortad-grad,100,100,100,40000,7,  3.642993E-03,  3.596465E-03,  3.830897E-03,  9.107483E-01,  8.991162E-01,  9.577243E-01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,primal,100,100,100,40000,7,  8.926347E-03,  8.780291E-03,  1.044991E-02,  2.231587E+00,  2.195073E+00,  2.612477E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,fortad,1000,1000,1000,4000,7,  8.499823E-03,  8.470929E-03,  8.591746E-03,  2.124956E+00,  2.117732E+00,  2.147937E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,enzyme,1000,1000,1000,4000,7,  1.566136E-02,  1.560794E-02,  1.583252E-02,  3.915341E+00,  3.901986E+00,  3.958129E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,tapenade,1000,1000,1000,4000,7,  3.530942E-03,  3.516856E-03,  3.556219E-03,  8.827355E-01,  8.792140E-01,  8.890548E-01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,fortad-grad,1000,1000,1000,4000,7,  3.335023E-03,  3.283165E-03,  3.394315E-03,  8.337558E-01,  8.207912E-01,  8.485788E-01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,primal,1000,1000,1000,4000,7,  1.024733E-02,  1.016487E-02,  1.033152E-02,  2.561834E+00,  2.541218E+00,  2.582881E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,fortad,10000,10000,10000,400,7,  8.525572E-03,  8.494012E-03,  8.593369E-03,  2.131393E+00,  2.123503E+00,  2.148342E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,enzyme,10000,10000,10000,400,7,  1.580984E-02,  1.576303E-02,  1.596766E-02,  3.952461E+00,  3.940756E+00,  3.991915E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,tapenade,10000,10000,10000,400,7,  3.565567E-03,  3.549257E-03,  3.606114E-03,  8.913918E-01,  8.873142E-01,  9.015285E-01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,fortad-grad,10000,10000,10000,400,7,  3.321838E-03,  3.307531E-03,  3.388514E-03,  8.304595E-01,  8.268827E-01,  8.471285E-01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,primal,10000,10000,10000,400,7,  1.037508E-02,  1.035062E-02,  1.054194E-02,  2.593769E+00,  2.587655E+00,  2.635485E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,fortad,100000,100000,100000,40,7,  8.702755E-03,  8.625099E-03,  8.755685E-03,  2.175689E+00,  2.156275E+00,  2.188921E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,enzyme,100000,100000,100000,40,7,  1.591702E-02,  1.585300E-02,  1.625706E-02,  3.979254E+00,  3.963249E+00,  4.064264E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,tapenade,100000,100000,100000,40,7,  3.752449E-03,  3.698177E-03,  3.849572E-03,  9.381122E-01,  9.245442E-01,  9.623930E-01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,fortad-grad,100000,100000,100000,40,7,  3.390337E-03,  3.333981E-03,  3.433629E-03,  8.475843E-01,  8.334953E-01,  8.584072E-01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,primal,100000,100000,100000,40,7,  1.041595E-02,  1.033049E-02,  1.044834E-02,  2.603988E+00,  2.582623E+00,  2.612086E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,fortad,1000000,1000000,1000000,4,7,  9.092520E-03,  8.960220E-03,  9.155498E-03,  2.273130E+00,  2.240055E+00,  2.288874E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,enzyme,1000000,1000000,1000000,4,7,  1.639028E-02,  1.625531E-02,  1.661251E-02,  4.097569E+00,  4.063828E+00,  4.153126E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,tapenade,1000000,1000000,1000000,4,7,  4.389209E-03,  4.277399E-03,  4.465743E-03,  1.097302E+00,  1.069350E+00,  1.116436E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,fortad-grad,1000000,1000000,1000000,4,7,  3.922179E-03,  3.773349E-03,  3.988364E-03,  9.805447E-01,  9.433373E-01,  9.970910E-01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
euler,primal,1000000,1000000,1000000,4,7,  1.038169E-02,  1.020185E-02,  1.056347E-02,  2.595422E+00,  2.550462E+00,  2.640868E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,fortad,100,100,100,40000,7,  9.369731E-03,  9.309579E-03,  9.391994E-03,  2.342433E+00,  2.327395E+00,  2.347999E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,enzyme,100,100,100,40000,7,  7.880950E-02,  7.869371E-02,  7.920124E-02,  1.970237E+01,  1.967343E+01,  1.980031E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,tapenade,100,100,100,40000,7,  3.637326E-02,  3.634656E-02,  3.640574E-02,  9.093316E+00,  9.086641E+00,  9.101436E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,fortad-grad,100,100,100,40000,7,  3.795570E-03,  3.786804E-03,  3.815619E-03,  9.488925E-01,  9.467010E-01,  9.539047E-01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,primal,100,100,100,40000,7,  5.439744E-02,  5.430987E-02,  5.472546E-02,  1.359936E+01,  1.357747E+01,  1.368136E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,fortad,1000,1000,1000,4000,7,  8.644465E-03,  8.382692E-03,  8.667058E-03,  2.161116E+00,  2.095673E+00,  2.166765E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,enzyme,1000,1000,1000,4000,7,  7.988873E-02,  7.931253E-02,  8.116838E-02,  1.997218E+01,  1.982813E+01,  2.029210E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,tapenade,1000,1000,1000,4000,7,  3.607946E-02,  3.590079E-02,  3.652642E-02,  9.019865E+00,  8.975198E+00,  9.131605E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,fortad-grad,1000,1000,1000,4000,7,  3.356974E-03,  3.340814E-03,  3.455210E-03,  8.392435E-01,  8.352035E-01,  8.638025E-01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,primal,1000,1000,1000,4000,7,  5.552797E-02,  5.499594E-02,  5.684548E-02,  1.388199E+01,  1.374898E+01,  1.421137E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,fortad,10000,10000,10000,400,7,  8.588641E-03,  8.466861E-03,  8.615390E-03,  2.147160E+00,  2.116715E+00,  2.153847E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,enzyme,10000,10000,10000,400,7,  7.986235E-02,  7.907103E-02,  7.996932E-02,  1.996559E+01,  1.976776E+01,  1.999233E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,tapenade,10000,10000,10000,400,7,  3.611186E-02,  3.578185E-02,  3.653488E-02,  9.027965E+00,  8.945462E+00,  9.133719E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,fortad-grad,10000,10000,10000,400,7,  3.312290E-03,  3.285519E-03,  3.450441E-03,  8.280725E-01,  8.213797E-01,  8.626103E-01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,primal,10000,10000,10000,400,7,  5.563884E-02,  5.495901E-02,  5.584636E-02,  1.390971E+01,  1.373975E+01,  1.396159E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,fortad,100000,100000,100000,40,7,  8.815658E-03,  8.784840E-03,  8.876332E-03,  2.203915E+00,  2.196210E+00,  2.219083E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,enzyme,100000,100000,100000,40,7,  8.018254E-02,  7.971262E-02,  8.049067E-02,  2.004563E+01,  1.992816E+01,  2.012267E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,tapenade,100000,100000,100000,40,7,  3.636466E-02,  3.623632E-02,  3.657671E-02,  9.091164E+00,  9.059079E+00,  9.144177E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,fortad-grad,100000,100000,100000,40,7,  3.412970E-03,  3.398612E-03,  3.419552E-03,  8.532425E-01,  8.496530E-01,  8.548880E-01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,primal,100000,100000,100000,40,7,  5.580407E-02,  5.566102E-02,  5.603791E-02,  1.395102E+01,  1.391526E+01,  1.400948E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,fortad,1000000,1000000,1000000,4,7,  9.130711E-03,  9.093572E-03,  1.025024E-02,  2.282678E+00,  2.273393E+00,  2.562560E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,enzyme,1000000,1000000,1000000,4,7,  7.990751E-02,  7.971494E-02,  8.044568E-02,  1.997688E+01,  1.992874E+01,  2.011142E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,tapenade,1000000,1000000,1000000,4,7,  3.677432E-02,  3.649706E-02,  3.780098E-02,  9.193580E+00,  9.124264E+00,  9.450246E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,fortad-grad,1000000,1000000,1000000,4,7,  3.857727E-03,  3.840205E-03,  3.976742E-03,  9.644318E-01,  9.600513E-01,  9.941855E-01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
rk4,primal,1000000,1000000,1000000,4,7,  5.550977E-02,  5.524463E-02,  5.588506E-02,  1.387744E+01,  1.381116E+01,  1.397127E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,fortad,100,300,300,13333,7,  2.053509E-02,  2.043800E-02,  2.066357E-02,  5.133900E+00,  5.109628E+00,  5.166021E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,enzyme,100,300,300,13333,7,  3.294523E-02,  3.283062E-02,  3.312479E-02,  8.236512E+00,  8.207860E+00,  8.281405E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,tapenade,100,300,300,13333,7,  7.615381E-02,  7.556155E-02,  7.712084E-02,  1.903893E+01,  1.889086E+01,  1.928069E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,fortad-grad,100,300,300,13333,7,  1.177321E-02,  1.168540E-02,  1.195452E-02,  2.943376E+00,  2.921424E+00,  2.988705E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
