operator,engine,n,seconds_total,ns_per_input
fci_polygon_edge_area,fortad,80000,9.90858000E-04,4.95429000E-01
fci_polygon_edge_area,enzyme,80000,9.02823000E-04,4.51411500E-01
fci_polygon_edge_area,fortad-grad,80000,7.23606000E-04,3.61803000E-01
fci_polygon_edge_area,fortad-jvp,80000,7.56718000E-04,3.78359000E-01
fci_polygon_edge_area,enzyme-jvp,80000,5.42938000E-04,2.71469000E-01
fci_polygon_edge_area,primal,80000,3.35859000E-04,1.67929500E-01
fci_quadrilateral_cell_area,fortad,160000,1.35232600E-03,7.04336458E-01
fci_quadrilateral_cell_area,enzyme,160000,1.21335500E-03,6.31955729E-01
fci_quadrilateral_cell_area,fortad-grad,160000,8.22191000E-04,4.28224479E-01
fci_quadrilateral_cell_area,fortad-jvp,160000,1.22364500E-03,6.37315104E-01
fci_quadrilateral_cell_area,enzyme-jvp,160000,1.31490600E-03,6.84846875E-01
fci_quadrilateral_cell_area,primal,160000,4.28032000E-04,2.22933333E-01
fci_quartic_bezier_edge_area,fortad,200000,5.44102300E-03,2.72051150E+00
fci_quartic_bezier_edge_area,enzyme,200000,7.40541600E-03,3.70270800E+00
fci_quartic_bezier_edge_area,fortad-grad,200000,1.97705800E-03,9.88529000E-01
fci_quartic_bezier_edge_area,fortad-jvp,200000,5.04488800E-03,2.52244400E+00
fci_quartic_bezier_edge_area,enzyme-jvp,200000,5.32779800E-03,2.66389900E+00
fci_quartic_bezier_edge_area,primal,200000,3.15889400E-03,1.57944700E+00
fci_hendecic_bezier_edge_area,fortad,480000,2.44600010E-02,1.27395839E+01
fci_hendecic_bezier_edge_area,enzyme,480000,1.90255390E-02,9.90913490E+00
fci_hendecic_bezier_edge_area,fortad-grad,480000,1.01168510E-02,5.26919323E+00
fci_hendecic_bezier_edge_area,fortad-jvp,480000,2.35029890E-02,1.22411401E+01
fci_hendecic_bezier_edge_area,enzyme-jvp,480000,2.22744750E-02,1.16012891E+01
fci_hendecic_bezier_edge_area,primal,480000,1.17654040E-02,6.12781458E+00
fci_parallel_gradient,fortad,100000,1.40282000E-03,7.01410000E-01
fci_parallel_gradient,enzyme,100000,1.24698700E-03,6.23493500E-01
fci_parallel_gradient,fortad-grad,100000,9.56634000E-04,4.78317000E-01
fci_parallel_gradient,fortad-jvp,100000,7.31411000E-04,3.65705500E-01
fci_parallel_gradient,enzyme-jvp,100000,1.02213600E-03,5.11068000E-01
fci_parallel_gradient,primal,100000,3.86876000E-04,1.93438000E-01
fci_quintic_lagrange_weights,fortad,140000,2.49894860E-02,1.27497378E+01
fci_quintic_lagrange_weights,enzyme,140000,1.96276190E-02,1.00140913E+01
fci_quintic_lagrange_weights,fortad-grad,140000,9.97836400E-03,5.09100204E+00
fci_quintic_lagrange_weights,fortad-jvp,140000,1.30884370E-02,6.67777398E+00
fci_quintic_lagrange_weights,enzyme-jvp,140000,1.49734550E-02,7.63951786E+00
fci_quintic_lagrange_weights,primal,140000,5.30751000E-03,2.70791327E+00
cgl_pressure_tensor,fortad,100000,2.82952500E-03,1.41476250E+00
cgl_pressure_tensor,enzyme,100000,3.01637600E-03,1.50818800E+00
cgl_pressure_tensor,fortad-grad,100000,1.33145700E-03,6.65728500E-01
cgl_pressure_tensor,fortad-jvp,100000,2.13897000E-03,1.06948500E+00
cgl_pressure_tensor,enzyme-jvp,100000,2.39004100E-03,1.19502050E+00
cgl_pressure_tensor,primal,100000,1.52693300E-03,7.63466500E-01
laplace_single_layer_integrand,fortad,180000,2.06502200E-03,1.04294040E+00
laplace_single_layer_integrand,enzyme,180000,2.40364700E-03,1.21396313E+00
laplace_single_layer_integrand,fortad-grad,180000,1.40800900E-03,7.11115657E-01
laplace_single_layer_integrand,fortad-jvp,180000,1.38423500E-03,6.99108586E-01
laplace_single_layer_integrand,enzyme-jvp,180000,1.28838600E-03,6.50700000E-01
laplace_single_layer_integrand,primal,180000,6.36925000E-04,3.21679293E-01
surface_triangle_geometry_3d,fortad,220000,4.16631200E-03,2.10419798E+00
surface_triangle_geometry_3d,enzyme,220000,6.22806800E-03,3.14548889E+00
surface_triangle_geometry_3d,fortad-grad,220000,2.32455800E-03,1.17401919E+00
surface_triangle_geometry_3d,fortad-jvp,220000,2.88533000E-03,1.45723737E+00
surface_triangle_geometry_3d,enzyme-jvp,220000,2.74097900E-03,1.38433283E+00
surface_triangle_geometry_3d,primal,220000,1.24730900E-03,6.29954040E-01
