operator,engine,n,seconds_total,ns_per_input
det2,fortad,80000,8.51968000E-04,4.25984000E-01
det2,enzyme,80000,1.03619300E-03,5.18096500E-01
det2,fortad-grad,80000,7.44456000E-04,3.72228000E-01
det2,primal,80000,3.23656000E-04,1.61828000E-01
det2,fortad-jvp,80000,6.33808000E-04,3.16904000E-01
det2,enzyme-jvp,80000,9.72212000E-04,4.86106000E-01
det2,fortsym,80000,1.94486600E-03,9.72433000E-01
det2,fortsym-jvp,80000,1.97695700E-03,9.88478500E-01
det3,fortad,180000,1.29830400E-03,6.55709091E-01
det3,enzyme,180000,1.59056200E-03,8.03314141E-01
det3,fortad-grad,180000,1.62410600E-03,8.20255556E-01
det3,primal,180000,3.91204000E-04,1.97577778E-01
det3,fortad-jvp,180000,1.13500800E-03,5.73236364E-01
det3,enzyme-jvp,180000,1.09207700E-03,5.51554040E-01
det3,fortsym,180000,2.14190600E-03,1.08177071E+00
det3,fortsym-jvp,180000,2.13228700E-03,1.07691263E+00
lagrange4,fortad,100000,2.93240900E-03,1.46620450E+00
lagrange4,enzyme,100000,2.99913300E-03,1.49956650E+00
lagrange4,fortad-grad,100000,1.63969400E-03,8.19847000E-01
lagrange4,primal,100000,9.30705000E-04,4.65352500E-01
lagrange4,fortad-jvp,100000,2.09564000E-03,1.04782000E+00
lagrange4,enzyme-jvp,100000,2.11874300E-03,1.05937150E+00
lagrange4,fortsym,100000,3.43033200E-03,1.71516600E+00
lagrange4,fortsym-jvp,100000,4.95416100E-03,2.47708050E+00
erfsum,fortad,20000,2.70864370E-02,1.35432185E+01
erfsum,enzyme,20000,2.46832640E-02,1.23416320E+01
erfsum,fortad-grad,20000,5.14449400E-03,2.57224700E+00
erfsum,primal,20000,1.95298030E-02,9.76490150E+00
erfsum,fortad-jvp,20000,2.73828760E-02,1.36914380E+01
erfsum,enzyme-jvp,20000,2.72631610E-02,1.36315805E+01
multi_input_p2,fortad,40000,1.59825110E-02,7.99125550E+00
multi_input_p2,enzyme,40000,2.62290060E-02,1.31145030E+01
multi_input_p2,fortad-grad,40000,1.30349880E-02,6.51749400E+00
multi_input_p2,primal,40000,1.29416330E-02,6.47081650E+00
multi_input_p2,fortad-jvp,40000,1.56493660E-02,7.82468300E+00
multi_input_p2,enzyme-jvp,40000,1.56947000E-02,7.84735000E+00
multi_input_p2,fortsym,40000,1.67924100E-02,8.39620500E+00
multi_input_p2,fortsym-jvp,40000,1.83609080E-02,9.18045400E+00
multi_input_p4,fortad,80000,1.60839320E-02,8.04196600E+00
multi_input_p4,enzyme,80000,2.68422360E-02,1.34211180E+01
multi_input_p4,fortad-grad,80000,1.34578300E-02,6.72891500E+00
multi_input_p4,primal,80000,1.33063660E-02,6.65318300E+00
multi_input_p4,fortad-jvp,80000,1.58068750E-02,7.90343750E+00
multi_input_p4,enzyme-jvp,80000,1.60987310E-02,8.04936550E+00
multi_input_p4,fortsym,80000,1.64644050E-02,8.23220250E+00
multi_input_p4,fortsym-jvp,80000,1.74423220E-02,8.72116100E+00
multi_input_p8,fortad,160000,1.53105670E-02,7.97425365E+00
multi_input_p8,enzyme,160000,2.57917850E-02,1.34332214E+01
multi_input_p8,fortad-grad,160000,1.31143790E-02,6.83040573E+00
multi_input_p8,primal,160000,1.28211610E-02,6.67768802E+00
multi_input_p8,fortad-jvp,160000,1.52656820E-02,7.95087604E+00
multi_input_p8,enzyme-jvp,160000,1.53016440E-02,7.96960625E+00
multi_input_p8,fortsym,160000,1.65311280E-02,8.60996250E+00
multi_input_p8,fortsym-jvp,160000,1.67179310E-02,8.70725573E+00
multi_input_p16,fortad,320000,1.58811280E-02,8.27142083E+00
multi_input_p16,enzyme,320000,3.00182370E-02,1.56344984E+01
multi_input_p16,fortad-grad,320000,1.30715380E-02,6.80809271E+00
multi_input_p16,primal,320000,1.30323970E-02,6.78770677E+00
multi_input_p16,fortad-jvp,320000,1.60459050E-02,8.35724219E+00
multi_input_p16,enzyme-jvp,320000,1.54807450E-02,8.06288802E+00
multi_input_p16,fortsym,320000,1.70753010E-02,8.89338594E+00
multi_input_p16,fortsym-jvp,320000,1.77083350E-02,9.22309115E+00
