engine,n,n_dir,seconds_total,ns_per_element_per_dir
fortad-reverse,1000,1,  1.664185E-02,      8.3209
enzyme-reverse,1000,1,  1.603476E-02,      8.0174
analytical-reverse,1000,1,  1.335886E-02,      6.6794
fortad-reverse,10000,1,  1.549939E-01,      7.7497
enzyme-reverse,10000,1,  1.483177E-01,      7.4159
analytical-reverse,10000,1,  1.370072E-01,      6.8504
fortad-reverse,100000,1,  1.584201E-01,      7.9210
enzyme-reverse,100000,1,  1.517249E-01,      7.5862
analytical-reverse,100000,1,  1.414311E-01,      7.0716
fortad-reverse,1000000,1,  1.729629E-01,      8.6481
enzyme-reverse,1000000,1,  1.641345E-01,      8.2067
analytical-reverse,1000000,1,  1.403734E-01,      7.0187
