engine,n,n_dir,seconds_total,ns_per_element_per_dir
fortad-reverse,1000,1,  3.005482E-02,     15.0274
enzyme-reverse,1000,1,  6.348284E-02,     31.7414
analytical-reverse,1000,1,  2.574933E-02,     12.8747
fortad-reverse,10000,1,  2.830233E-01,     14.1512
enzyme-reverse,10000,1,  6.361504E-01,     31.8075
analytical-reverse,10000,1,  2.553693E-01,     12.7685
fortad-reverse,100000,1,  2.863154E-01,     14.3158
enzyme-reverse,100000,1,  6.287559E-01,     31.4378
analytical-reverse,100000,1,  2.583278E-01,     12.9164
fortad-reverse,1000000,1,  2.991657E-01,     14.9583
enzyme-reverse,1000000,1,  6.370020E-01,     31.8501
analytical-reverse,1000000,1,  2.576623E-01,     12.8831
